"Location","序號","DateTimeRound","HourNumber","DeskCount.mean","DeskCount.median","口採樣點.mean","鼻採樣點.mean","口採樣點.median","鼻採樣點.median","WaitingQueue.mean","WaitingMinutes.mean","WaitingQueue.median","WaitingMinutes.median","WaitingQueue.current","WaitingMinutes.current","MaxCurrentFlag","DeskCount.ntile","AvgDeskCount","Sno","LocationEnglish","lon","lat","area"
"奧林匹克體育中心室內體育館","B21","2022/07/22 17:00:00",17,8.5,8.5,6.5,2,6.5,2,67,8,67,8,NA,NA,NA,2,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/22 16:30:00",16.5,8.5,8.5,6.5,2,6.5,2,67,8,67,8,0,0,0,2,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/22 16:00:00",16,8,8,6,2,6,2,41.5,5.5,41.5,5.5,0,0,0,1,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/22 15:30:00",15.5,8,8,6,2,6,2,36,4.8,44,6,0,0,0,1,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/22 15:00:00",15,8,8,6,2,6,2,25.285714285714285,3.4285714285714284,24,3,0,0,0,1,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/22 14:30:00",14.5,8,8,6,2,6,2,36.857142857142854,4.714285714285714,34,4,0,0,0,1,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/22 14:00:00",14,8,8,6,2,6,2,34,4.5,34,4.5,0,0,0,2,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/22 13:30:00",13.5,8.571428571428571,9,6.571428571428571,2,7,2,40.142857142857146,4.714285714285714,50,6,0,0,0,2,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/22 13:00:00",13,9,9,7,2,7,2,21.428571428571427,2.4285714285714284,18,2,0,0,0,3,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","B21","2022/07/22 12:30:00",12.5,9,9,7,2,7,2,34.5,3.5,34.5,3.5,0,0,0,3,9,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
