"Location","DateTimeRound","HourNumber","repeats","SwabDate","SwabTime","口咽拭","鼻咽拭","SwabCount","AvgSwabCount","DurationHour","DurationDay","DurationDayNumber","Status","序號","DeskCount.mean","DeskCount.median","口採樣點.mean","鼻採樣點.mean","口採樣點.median","鼻採樣點.median","WaitingQueue.mean","WaitingMinutes.mean","WaitingQueue.median","WaitingMinutes.median","WaitingQueue.current","WaitingMinutes.current","MaxCurrentFlag","DeskCount.ntile","AvgDeskCount","SwabPerDesk","SwabPerDesk.ntile","SwabPerDesk.color","MouthPerDesk","NosePerDesk","AvgSwabPerDesk","Sno","LocationEnglish","lon","lat","area"
"奧林匹克體育中心室內體育館","2022/07/22 09:00:00",9,64,"2022-07-22","09:00",177,83,260,222.92857142857142,0,0,1,"1.已完成","B21",9,9,7,2,7,2,36,4,36,4,NA,NA,NA,5,9,28.88888888888889,2,"steelblue",25.285714285714285,41.5,42.77931564782776,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","2022/07/22 09:30:00",9.5,64,"2022-07-22","09:30",306,104,410,222.92857142857142,0.5,0.020833333333333332,1,"1.已完成","B21",9,9,7,2,7,2,36,4,36,4,NA,NA,NA,5,9,45.55555555555556,4,"coral",43.714285714285715,52,42.77931564782776,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","2022/07/22 10:00:00",10,64,"2022-07-22","10:00",278,132,410,222.92857142857142,1,0.041666666666666664,1,"1.已完成","B21",9,9,7,2,7,2,36,4,36,4,NA,NA,NA,5,9,45.55555555555556,4,"coral",39.714285714285715,66,42.77931564782776,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","2022/07/22 10:30:00",10.5,64,"2022-07-22","10:30",243,127,370,222.92857142857142,1.5,0.0625,1,"1.已完成","B21",9,9,7,2,7,2,36,4,36,4,NA,NA,NA,4,9,41.111111111111114,4,"coral",34.714285714285715,63.5,42.77931564782776,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","2022/07/22 11:00:00",11,64,"2022-07-22","11:00",207,113,320,222.92857142857142,2,0.08333333333333333,1,"1.已完成","B21",9,9,7,2,7,2,36,4,36,4,NA,NA,NA,4,9,35.55555555555556,3,"goldenrod",29.571428571428573,56.5,42.77931564782776,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","2022/07/22 11:30:00",11.5,64,"2022-07-22","11:30",226,94,320,222.92857142857142,2.5,0.10416666666666666,1,"1.已完成","B21",9,9,7,2,7,2,36,4,36,4,NA,NA,NA,4,9,35.55555555555556,3,"goldenrod",32.285714285714285,47,42.77931564782776,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","2022/07/22 12:00:00",12,64,"2022-07-22","12:00",239,81,320,222.92857142857142,3,0.125,1,"1.已完成","B21",9,9,7,2,7,2,36,4,36,4,0,0,0,3,9,35.55555555555556,3,"goldenrod",34.142857142857146,40.5,42.77931564782776,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","2022/07/22 12:30:00",12.5,64,"2022-07-22","12:30",224,96,320,222.92857142857142,3.5,0.14583333333333331,1,"1.已完成","B21",9,9,7,2,7,2,34.5,3.5,34.5,3.5,0,0,0,3,9,35.55555555555556,3,"goldenrod",32,48,42.77931564782776,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","2022/07/22 13:00:00",13,64,"2022-07-22","13:00",283,87,370,222.92857142857142,4,0.16666666666666666,1,"1.已完成","B21",9,9,7,2,7,2,21.428571428571427,2.4285714285714284,18,2,0,0,0,3,9,41.111111111111114,4,"coral",40.42857142857143,43.5,42.77931564782776,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
"奧林匹克體育中心室內體育館","2022/07/22 13:30:00",13.5,64,"2022-07-22","13:30",312,98,410,222.92857142857142,4.5,0.1875,1,"1.已完成","B21",8.571428571428571,9,6.571428571428571,2,7,2,40.142857142857146,4.714285714285714,50,6,0,0,0,2,9,47.833333333333336,4,"coral",47.47826086956522,49,42.77931564782776,"B21","Olympic Sports Centre - Stadium - Indoor Pavilion",113.5533585,22.1545266,"氹仔"
